ID,filename.x,TYPE,BOX_AND_CODE,STATE,fullest_code,type_branch,rep,cluster,Region,zip_code
Vicky1.c1.268.F1A.mzXML.Peak.area,Vicky1-c1-268-F1A.mzXML,isolate,268-F1,UT,Vicky1-c1-268-F1A,branch_y,a,clu6_3,Southwest,84341
Vicky1.c1.268.F1B.mzXML.Peak.area,Vicky1-c1-268-F1B.mzXML,isolate,268-F1,UT,Vicky1-c1-268-F1B,branch_y,b,clu6_3,Southwest,84341
Vicky1.c2.269.D2A.mzXML.Peak.area,Vicky1-c2-269-D2A.mzXML,isolate,269-D2,UT,Vicky1-c2-269-D2A,branch_y,a,clu6_3,Southwest,84322
Vicky1.c2.269.D2B.mzXML.Peak.area,Vicky1-c2-269-D2B.mzXML,isolate,269-D2,UT,Vicky1-c2-269-D2B,branch_y,b,clu6_3,Southwest,84322
Vicky1.c3.197.E10A.mzXML.Peak.area,Vicky1-c3-197-E10A.mzXML,isolate,197-E10,UT,Vicky1-c3-197-E10A,branch_y,a,clu6_3,Southwest,84758
Vicky1.c3.197.E10B.mzXML.Peak.area,Vicky1-c3-197-E10B.mzXML,isolate,197-E10,UT,Vicky1-c3-197-E10B,branch_y,b,clu6_3,Southwest,84758
Vicky1.c4.264.C2A.mzXML.Peak.area,Vicky1-c4-264-C2A.mzXML,isolate,264-C2,UT,Vicky1-c4-264-C2A,branch_y,a,clu6_3,Southwest,84321
Vicky1.c4.264.C2B.mzXML.Peak.area,Vicky1-c4-264-C2B.mzXML,isolate,264-C2,UT,Vicky1-c4-264-C2B,branch_y,b,clu6_3,Southwest,84321
Vicky1.c5.200.A5A.mzXML.Peak.area,Vicky1-c5-200-A5A.mzXML,isolate,200-A5,AK,Vicky1-c5-200-A5A,branch_y,a,clu6_3,Alaska,99824
Vicky1.c5.200.A5B.mzXML.Peak.area,Vicky1-c5-200-A5B.mzXML,isolate,200-A5,AK,Vicky1-c5-200-A5B,branch_y,b,clu6_3,Alaska,99824
Vicky1.d1.186.F8A.mzXML.Peak.area,Vicky1-d1-186-F8A.mzXML,isolate,186-F8,WI,Vicky1-d1-186-F8A,branch_y,a,clu6_3,East North Central,54166
Vicky1.d1.186.F8B.mzXML.Peak.area,Vicky1-d1-186-F8B.mzXML,isolate,186-F8,WI,Vicky1-d1-186-F8B,branch_y,b,clu6_3,East North Central,54166
Vicky1.d10.169.E8A.mzXML.Peak.area,Vicky1-d10-169-E8A.mzXML,isolate,169-E8,UT,Vicky1-d10-169-E8A,branch_y,a,clu6_3,Southwest,84758
Vicky1.d10.169.E8B.mzXML.Peak.area,Vicky1-d10-169-E8B.mzXML,isolate,169-E8,UT,Vicky1-d10-169-E8B,branch_y,b,clu6_3,Southwest,84758
Vicky1.d11.236.G1A.mzXML.Peak.area,Vicky1-d11-236-G1A.mzXML,isolate,236-G1,OR,Vicky1-d11-236-G1A,branch_y,a,clu6_3,Northwest,97498
Vicky1.d11.236.G1B.mzXML.Peak.area,Vicky1-d11-236-G1B.mzXML,isolate,236-G1,OR,Vicky1-d11-236-G1B,branch_y,b,clu6_3,Northwest,97498
Vicky1.d2.179.A9A.mzXML.Peak.area,Vicky1-d2-179-A9A.mzXML,isolate,179-A9,NM,Vicky1-d2-179-A9A,branch_y,a,clu6_3,Southwest,87112
Vicky1.d2.179.A9B.mzXML.Peak.area,Vicky1-d2-179-A9B.mzXML,isolate,179-A9,NM,Vicky1-d2-179-A9B,branch_y,b,clu6_3,Southwest,87112
Vicky1.d3.190.D4A.mzXML.Peak.area,Vicky1-d3-190-D4A.mzXML,isolate,190-D4,UT,Vicky1-d3-190-D4A,branch_y,a,clu6_3,Southwest,84758
Vicky1.d3.190.D4B.mzXML.Peak.area,Vicky1-d3-190-D4B.mzXML,isolate,190-D4,UT,Vicky1-d3-190-D4B,branch_y,b,clu6_3,Southwest,84758
Vicky1.e12.264.D2A.mzXML.Peak.area,Vicky1-e12-264-D2A.mzXML,isolate,264-D2,UT,Vicky1-e12-264-D2A,branch_y,a,clu6_3,Southwest,84321
Vicky1.e12.264.D2B.mzXML.Peak.area,Vicky1-e12-264-D2B.mzXML,isolate,264-D2,UT,Vicky1-e12-264-D2B,branch_y,b,clu6_3,Southwest,84321
Vicky1.f1.386.A11A.mzXML.Peak.area,Vicky1-f1-386-A11A.mzXML,isolate,386-A11,UT,Vicky1-f1-386-A11A,branch_y,a,clu6_3,Southwest,84321
Vicky1.f1.386.A11B.mzXML.Peak.area,Vicky1-f1-386-A11B.mzXML,isolate,386-A11,UT,Vicky1-f1-386-A11B,branch_y,b,clu6_3,Southwest,84321
Vicky1.g11.389.H2A.mzXML.Peak.area,Vicky1-g11-389-H2A.mzXML,isolate,389-H2,ID,Vicky1-g11-389-H2A,branch_y,a,clu6_3,Northwest,83854
Vicky1.g11.389.H2B.mzXML.Peak.area,Vicky1-g11-389-H2B.mzXML,isolate,389-H2,ID,Vicky1-g11-389-H2B,branch_y,b,clu6_3,Northwest,83854
Vicky3.a12.365.D8A.mzXML.Peak.area,Vicky3-a12-365-D8A.mzXML,isolate,365-D8,MO,Vicky3-a12-365-D8A,branch_y,a,clu6_2,Central,64015
Vicky3.a12.365.D8B.mzXML.Peak.area,Vicky3-a12-365-D8B.mzXML,isolate,365-D8,MO,Vicky3-a12-365-D8B,branch_y,b,clu6_2,Central,64015
