merge1,row m/z,row retention time,feature ID,merge
1,198.1122615,3.956634431,198.112_3.96,X198.112_3.96
2,184.0967364,3.274909787,184.097_3.27,X184.097_3.27
3,324.2891855,7.146043223,324.289_7.15,X324.289_7.15
4,326.3048634,7.628222188,326.305_7.63,X326.305_7.63
5,345.2416792,7.36841188,345.242_7.37,X345.242_7.37
6,417.2470495,4.613827244,417.247_4.61,X417.247_4.61
7,415.2329938,4.571394186,415.233_4.57,X415.233_4.57
8,321.1687236,4.507882895,321.169_4.51,X321.169_4.51
9,295.2264081,6.753134031,295.226_6.75,X295.226_6.75
10,120.0443133,1.825064299,120.044_1.83,X120.044_1.83
11,309.2418789,6.093351925,309.242_6.09,X309.242_6.09
12,197.1281961,2.791439418,197.128_2.79,X197.128_2.79
13,321.1687409,3.848310915,321.169_3.85,X321.169_3.85
14,363.2159111,5.386410674,363.216_5.39,X363.216_5.39
15,363.2159191,4.74897703,363.216_4.75,X363.216_4.75
16,335.1844476,4.78558595,335.184_4.79,X335.184_4.79
17,372.2452927,5.901408565,372.245_5.9,X372.245_5.9
18,345.2417447,7.135869444,345.242_7.14,X345.242_7.14
19,300.2892071,7.426263478,300.289_7.43,X300.289_7.43
20,349.2365585,5.529829461,349.237_5.53,X349.237_5.53
21,318.2995983,5.920046468,318.3_5.92,X318.3_5.92
22,331.2263363,7.016724409,331.226_7.02,X331.226_7.02
23,280.2630784,7.546950044,280.263_7.55,X280.263_7.55
24,138.0548857,1.823086709,138.055_1.82,X138.055_1.82
26,365.2311805,4.499892056,365.231_4.5,X365.231_4.5
27,282.2786302,7.95449354,282.279_7.95,X282.279_7.95
28,317.1495451,4.234207724,317.15_4.23,X317.15_4.23
29,291.2313693,6.092862896,291.231_6.09,X291.231_6.09
30,325.2368798,4.467146795,325.237_4.47,X325.237_4.47
31,347.2211008,5.398067728,347.221_5.4,X347.221_5.4
32,347.2212969,6.121508333,347.221_6.12,X347.221_6.12
33,379.2467103,4.779731911,379.247_4.78,X379.247_4.78
35,183.1013723,4.703793523,183.101_4.7,X183.101_4.7
36,522.3540154,6.501356473,522.354_6.5,X522.354_6.5
37,365.2313941,5.446063502,365.231_5.45,X365.231_5.45
38,377.2312692,5.66937931,377.231_5.67,X377.231_5.67
39,343.2262383,5.697266364,343.226_5.7,X343.226_5.7
40,379.2108721,4.60925,379.211_4.61,X379.211_4.61
41,371.3147794,9.251061295,371.315_9.25,X371.315_9.25
42,277.2159736,6.741839119,277.216_6.74,X277.216_6.74
43,379.2109725,4.13852963,379.211_4.14,X379.211_4.14
44,196.096731,3.133714176,196.097_3.13,X196.097_3.13
45,520.3390555,6.13410493,520.339_6.13,X520.339_6.13
46,325.2369169,4.618811494,325.237_4.62,X325.237_4.62
47,349.2365589,4.822289529,349.237_4.82,X349.237_4.82
50,878.4725958,8.588958741,878.473_8.59,X878.473_8.59
51,367.2238047,7.369574701,367.224_7.37,X367.224_7.37
52,344.3153918,6.463554808,344.315_6.46,X344.315_6.46
53,361.2365158,6.052112772,361.237_6.05,X361.237_6.05
55,279.2315909,6.333310722,279.232_6.33,X279.232_6.33
56,323.2577502,8.029477928,323.258_8.03,X323.258_8.03
57,379.210816,4.301081771,379.211_4.3,X379.211_4.3
58,365.2312543,3.874746296,365.231_3.87,X365.231_3.87
59,568.4557542,8.081889778,568.456_8.08,X568.456_8.08
60,316.2839635,5.697133541,316.284_5.7,X316.284_5.7
61,311.2571269,6.463366026,311.257_6.46,X311.257_6.46
63,355.2835304,6.03634779,355.284_6.04,X355.284_6.04
64,393.3145554,9.891177096,393.315_9.89,X393.315_9.89
65,397.2207887,4.172307738,397.221_4.17,X397.221_4.17
66,293.2107933,6.214065789,293.211_6.21,X293.211_6.21
67,428.3228062,8.030917063,428.323_8.03,X428.323_8.03
68,347.2211226,4.499783854,347.221_4.5,X347.221_4.5
69,277.2159089,5.392865206,277.216_5.39,X277.216_5.39
70,335.1845912,4.431698188,335.185_4.43,X335.185_4.43
71,310.3099368,8.62595485,310.31_8.63,X310.31_8.63
72,277.215926,6.121031708,277.216_6.12,X277.216_6.12
73,312.289201,6.086962732,312.289_6.09,X312.289_6.09
75,357.2992116,6.385584753,357.299_6.39,X357.299_6.39
76,613.2312426,5.382483333,613.231_5.38,X613.231_5.38
77,379.2107421,4.463971875,379.211_4.46,X379.211_4.46
79,329.2107963,5.401443321,329.211_5.4,X329.211_5.4
80,185.1170892,3.311543088,185.117_3.31,X185.117_3.31
81,336.1788694,4.786707527,336.179_4.79,X336.179_4.79
