componentindex,cluster index,merge1
1434,1,1
3822,2,2
249,3,3
249,4,4
317,5,5
12,6,6
12,7,7
236,8,8
673,9,9
569,10,10
-1,11,11
270,12,12
236,13,13
580,14,14
580,15,15
236,16,16
-1,17,17
317,18,18
249,19,19
610,20,20
462,21,21
317,22,22
2957,23,23
465,24,24
688,26,26
1158,27,27
584,28,28
-1,29,29
1424,30,30
688,31,31
-1,32,32
688,33,33
3803,35,35
363,36,36
1119,37,37
580,38,38
688,39,39
271,40,40
207,41,41
673,42,42
2036,43,43
743,44,44
363,45,45
1424,46,46
610,47,47
288,50,50
334,51,51
504,52,52
688,53,53
51,55,55
-1,56,56
1079,57,57
688,58,58
227,59,59
462,60,60
2339,61,61
395,63,63
367,64,64
-1,65,65
155,66,66
1046,67,67
688,68,68
1194,69,69
279,70,70
1158,71,71
1194,72,72
1687,73,73
802,75,75
128,76,76
1079,77,77
688,79,79
903,80,80
1650,81,81
45,82,82
138,83,83
287,84,84
31,85,85
592,86,86
249,87,87
610,88,88
161,89,89
2036,90,90
1424,91,91
-1,92,92
610,94,94
51,95,95
600,97,97
3750,98,98
610,99,99
1051,100,100
227,101,101
3779,102,102
138,104,104
-1,105,105
-1,106,106
-1,107,107
557,108,108
2469,109,109
-1,110,110
568,111,111
271,112,112
4584,113,113
688,114,114
12,115,115
688,116,116
610,117,117
635,118,118
519,119,119
2036,120,120
688,121,121
799,122,122
-1,126,126
236,127,127
45,128,128
12,129,129
-1,130,130
2911,131,131
334,132,132
227,133,133
1424,134,134
673,135,135
-1,137,137
-1,138,138
-1,140,140
271,141,141
-1,142,142
227,143,143
334,145,145
150,147,147
1046,148,148
1051,149,149
641,150,150
-1,151,151
-1,152,152
-1,153,153
3716,154,154
3260,155,155
-1,156,156
218,157,157
45,158,158
161,159,159
5202,160,160
140,161,161
47,162,162
-1,163,163
688,164,164
-1,165,165
568,166,166
2929,167,167
610,168,168
557,169,169
363,170,170
449,171,171
2929,172,172
-1,173,173
150,174,174
45,175,175
287,176,176
-1,177,177
-1,178,178
1952,179,179
227,180,180
504,181,181
568,182,182
903,183,183
-1,184,184
610,185,185
1718,186,186
322,187,187
1413,188,188
-1,189,189
12,190,190
-1,191,191
287,192,192
51,193,193
45,194,194
288,195,195
270,196,196
-1,197,197
1337,198,198
287,199,199
1424,200,200
1653,201,201
77,202,202
2172,203,203
287,204,204
227,205,205
688,206,206
249,207,207
128,208,208
222,209,209
519,210,210
3637,211,211
1417,212,212
407,213,213
568,214,214
47,215,215
45,216,216
1266,217,217
688,218,218
138,219,219
77,220,220
-1,221,221
-1,222,222
-1,223,223
3850,224,224
557,225,225
-1,226,226
-1,227,227
568,228,228
287,229,229
288,230,230
3131,231,231
688,232,232
-1,233,233
1669,234,234
287,235,235
962,236,236
64,237,237
287,238,238
-1,239,239
504,240,240
2217,241,241
569,242,242
287,243,243
298,244,244
504,245,245
1024,246,246
2339,247,247
45,248,248
903,250,250
45,252,252
-1,253,253
2722,254,254
-1,255,255
1047,257,257
2478,258,258
334,259,259
592,260,260
-1,261,261
270,262,262
211,263,263
270,264,264
2153,265,265
496,266,266
45,267,267
-1,268,268
288,269,269
138,270,270
-1,271,271
4541,272,272
271,273,273
632,274,274
2218,276,276
610,277,277
2585,278,278
610,279,279
120,280,280
-1,281,281
-1,283,283
915,284,284
604,285,285
688,286,286
-1,287,287
615,288,288
557,289,289
47,290,290
688,291,291
1944,293,293
395,295,295
680,297,297
1424,298,298
227,299,299
604,300,300
1047,301,301
1378,302,302
1448,303,303
1024,304,304
45,305,305
3444,306,306
1504,307,307
224,308,308
-1,310,310
-1,311,311
2623,312,312
249,313,313
956,314,314
