"merge","filename.x","TYPE","BOX_AND_CODE","STATE","fullest_code","type_branch","rep","cluster","Region","zip_code","combined","otu_count"
"101-H7a","Vicky1-a1-101-H7A.mzXML","isolate","101-H7","SC","Vicky1-a1-101-H7A","branch_u","a","clu6_1","Southeast",29203,"clu6_1-branch_u",1346
"101-H7b","Vicky1-a1-101-H7B.mzXML","isolate","101-H7","SC","Vicky1-a1-101-H7B","branch_u","b","clu6_1","Southeast",29203,"clu6_1-branch_u",1264
"133-H4a","Vicky1-h6-133-H4A.mzXML","isolate","133-H4","TX","Vicky1-h6-133-H4A","branch_u","a","clu6_1","South",79928,"clu6_1-branch_u",331
"133-H4b","Vicky1-h6-133-H4B.mzXML","isolate","133-H4","TX","Vicky1-h6-133-H4B","branch_u","b","clu6_1","South",79928,"clu6_1-branch_u",387
"134-D5a","Vicky1-c12-134-D5A.mzXML","isolate","134-D5","NM","Vicky1-c12-134-D5A","branch_u","a","clu6_1","Southwest",87105,"clu6_1-branch_u",580
"134-D5b","Vicky1-c12-134-D5B.mzXML","isolate","134-D5","NM","Vicky1-c12-134-D5B","branch_u","b","clu6_1","Southwest",87105,"clu6_1-branch_u",332
"136-B12a","Vicky1-c9-136-B12A.mzXML","isolate","136-B12","CO","Vicky1-c9-136-B12A","branch_u","a","clu6_1","Southwest",80221,"clu6_1-branch_u",483
"136-B12b","Vicky1-c9-136-B12B.mzXML","isolate","136-B12","CO","Vicky1-c9-136-B12B","branch_u","b","clu6_1","Southwest",80221,"clu6_1-branch_u",394
"139-F1a","Vicky1-a4-139-F1A.mzXML","isolate","139-F1","NM","Vicky1-a4-139-F1A","branch_u","a","clu6_1","Southwest",87121,"clu6_1-branch_u",302
"139-F1b","Vicky1-a4-139-F1B.mzXML","isolate","139-F1","NM","Vicky1-a4-139-F1B","branch_u","b","clu6_1","Southwest",87121,"clu6_1-branch_u",526
"139-F2a","Vicky3-a11-139-F2A.mzXML","isolate","139-F2","NM","Vicky3-a11-139-F2A","branch_w","a","clu6_2","Southwest",87105,"clu6_2-branch_w",266
"139-F2b","Vicky3-a11-139-F2B.mzXML","isolate","139-F2","NM","Vicky3-a11-139-F2B","branch_w","b","clu6_2","Southwest",87105,"clu6_2-branch_w",319
"145-B9a","Vicky1-a5-145-B9A.mzXML","isolate","145-B9","TX","Vicky1-a5-145-B9A","branch_u","a","clu6_1","South",79934,"clu6_1-branch_u",597
"145-B9b","Vicky1-a5-145-B9B.mzXML","isolate","145-B9","TX","Vicky1-a5-145-B9B","branch_u","b","clu6_1","South",79934,"clu6_1-branch_u",379
"147-B2a","Vicky1-f5-147-B2A.mzXML","isolate","147-B2","CO","Vicky1-f5-147-B2A","branch_u","a","clu6_1","Southwest",80521,"clu6_1-branch_u",583
"147-B2b","Vicky1-f5-147-B2B.mzXML","isolate","147-B2","CO","Vicky1-f5-147-B2B","branch_u","b","clu6_1","Southwest",80521,"clu6_1-branch_u",453
"147-C6a","Vicky1-f9-147-C6A.mzXML","isolate","147-C6","NM","Vicky1-f9-147-C6A","branch_u","a","clu6_1","Southwest",87105,"clu6_1-branch_u",490
"147-C6b","Vicky1-f9-147-C6B.mzXML","isolate","147-C6","NM","Vicky1-f9-147-C6B","branch_u","b","clu6_1","Southwest",87105,"clu6_1-branch_u",300
"148-E3a","Vicky1-c8-148-E3A.mzXML","isolate","148-E3","MT","Vicky1-c8-148-E3A","branch_u","a","clu6_1","West North Central",59601,"clu6_1-branch_u",644
"148-E3b","Vicky1-c8-148-E3B.mzXML","isolate","148-E3","MT","Vicky1-c8-148-E3B","branch_u","b","clu6_1","West North Central",59601,"clu6_1-branch_u",730
"149-A5a","Vicky2-g12-149-A5A.mzXML","isolate","149-A5","CO","Vicky2-g12-149-A5A","branch_v","a","clu6_4","Southwest",80004,"clu6_4-branch_v",437
"149-A5b","Vicky2-g12-149-A5B.mzXML","isolate","149-A5","CO","Vicky2-g12-149-A5B","branch_v","b","clu6_4","Southwest",80004,"clu6_4-branch_v",185
"151-A8a","Vicky1-c10-151-A8A.mzXML","isolate","151-A8","CA","Vicky1-c10-151-A8A","branch_v","a","clu6_2","West",91746,"clu6_2-branch_v",396
"151-A8b","Vicky1-c10-151-A8B.mzXML","isolate","151-A8","CA","Vicky1-c10-151-A8B","branch_v","b","clu6_2","West",91746,"clu6_2-branch_v",399
"152-B2a","Vicky1-a3-152-B2A.mzXML","isolate","152-B2","CA","Vicky1-a3-152-B2A","branch_u","a","clu6_1","West",94568,"clu6_1-branch_u",394
"152-B2b","Vicky1-a3-152-B2B.mzXML","isolate","152-B2","CA","Vicky1-a3-152-B2B","branch_u","b","clu6_1","West",94568,"clu6_1-branch_u",516
"153-E12a","Vicky3-a10-153-E12A.mzXML","isolate","153-E12","CA","Vicky3-a10-153-E12A","branch_u","a","clu6_2","West",95123,"clu6_2-branch_u",653
"153-E12b","Vicky3-a10-153-E12B.mzXML","isolate","153-E12","CA","Vicky3-a10-153-E12B","branch_u","b","clu6_2","West",95123,"clu6_2-branch_u",607
"154-A4a","Vicky3-b10-154-A4A.mzXML","isolate","154-A4","OK","Vicky3-b10-154-A4A","branch_u","a","clu6_1","South",74873,"clu6_1-branch_u",383
"154-A4b","Vicky3-b10-154-A4B.mzXML","isolate","154-A4","OK","Vicky3-b10-154-A4B","branch_u","b","clu6_1","South",74873,"clu6_1-branch_u",239
"155-E5a","Vicky1-e8-155-E5A.mzXML","isolate","155-E5","CA","Vicky1-e8-155-E5A","branch_u","a","clu6_1","West",95123,"clu6_1-branch_u",397
"155-E5b","Vicky1-e8-155-E5B.mzXML","isolate","155-E5","CA","Vicky1-e8-155-E5B","branch_u","b","clu6_1","West",95123,"clu6_1-branch_u",478
"157-F2a","Vicky1-b2-157-F2A.mzXML","isolate","157-F2","CA","Vicky1-b2-157-F2A","branch_u","a","clu6_2","West",92129,"clu6_2-branch_u",748
"157-F2b","Vicky1-b2-157-F2B.mzXML","isolate","157-F2","CA","Vicky1-b2-157-F2B","branch_u","b","clu6_2","West",92129,"clu6_2-branch_u",530
"157-H2a","Vicky2-a11-157-H2A.mzXML","isolate","157-H2","UT","Vicky2-a11-157-H2A","branch_w","a","clu6_2","Southwest",84758,"clu6_2-branch_w",369
"157-H2b","Vicky2-a11-157-H2B.mzXML","isolate","157-H2","UT","Vicky2-a11-157-H2B","branch_w","b","clu6_2","Southwest",84758,"clu6_2-branch_w",294
"158-H6a","Vicky2-b1-158-H6A.mzXML","isolate","158-H6","NV","Vicky2-b1-158-H6A","branch_w","a","clu6_2","West",89403,"clu6_2-branch_w",404
"158-H6b","Vicky2-b1-158-H6B.mzXML","isolate","158-H6","NV","Vicky2-b1-158-H6B","branch_w","b","clu6_2","West",89403,"clu6_2-branch_w",247
"159-E5a","Vicky1-e10-159-E5A.mzXML","isolate","159-E5","NM","Vicky1-e10-159-E5A","branch_u","a","clu6_1","Southwest",87701,"clu6_1-branch_u",286
"159-E5b","Vicky1-e10-159-E5B.mzXML","isolate","159-E5","NM","Vicky1-e10-159-E5B","branch_u","b","clu6_1","Southwest",87701,"clu6_1-branch_u",302
"164-D9a","Vicky3-b2-164-D9A.mzXML","isolate","164-D9","UT","Vicky3-b2-164-D9A","branch_w","a","clu6_2","Southwest",84758,"clu6_2-branch_w",359
"164-D9b","Vicky3-b2-164-D9B.mzXML","isolate","164-D9","UT","Vicky3-b2-164-D9B","branch_w","b","clu6_2","Southwest",84758,"clu6_2-branch_w",121
"165-C11a","Vicky1-c11-165-C11A.mzXML","isolate","165-C11","KS","Vicky1-c11-165-C11A","branch_u","a","clu6_1","South",66402,"clu6_1-branch_u",288
"165-C11b","Vicky1-c11-165-C11B.mzXML","isolate","165-C11","KS","Vicky1-c11-165-C11B","branch_u","b","clu6_1","South",66402,"clu6_1-branch_u",247
"166-G4a","Vicky2-d11-166-G4A.mzXML","isolate","166-G4","UT","Vicky2-d11-166-G4A","branch_v","a","clu6_2","Southwest",84058,"clu6_2-branch_v",376
"166-G4b","Vicky2-d11-166-G4B.mzXML","isolate","166-G4","UT","Vicky2-d11-166-G4B","branch_v","b","clu6_2","Southwest",84058,"clu6_2-branch_v",187
"166-H2a","Vicky3-b1-166-H2A.mzXML","isolate","166-H2","CA","Vicky3-b1-166-H2A","branch_w","a","clu6_2","West",94568,"clu6_2-branch_w",632
"166-H2b","Vicky3-b1-166-H2B.mzXML","isolate","166-H2","CA","Vicky3-b1-166-H2B","branch_w","b","clu6_2","West",94568,"clu6_2-branch_w",515
"167-A11a","Vicky1-b10-167-A11A.mzXML","isolate","167-A11","CA","Vicky1-b10-167-A11A","branch_u","a","clu6_1","West",92841,"clu6_1-branch_u",505
"167-A11b","Vicky1-b10-167-A11B.mzXML","isolate","167-A11","CA","Vicky1-b10-167-A11B","branch_u","b","clu6_1","West",92841,"clu6_1-branch_u",408
"168-E2a","Vicky3-b3-168-E2A.mzXML","isolate","168-E2","CA","Vicky3-b3-168-E2A","branch_w","a","clu6_2","West",95673,"clu6_2-branch_w",732
"168-E2b","Vicky3-b3-168-E2B.mzXML","isolate","168-E2","CA","Vicky3-b3-168-E2B","branch_w","b","clu6_2","West",95673,"clu6_2-branch_w",617
"169-E8a","Vicky1-d10-169-E8A.mzXML","isolate","169-E8","UT","Vicky1-d10-169-E8A","branch_y","a","clu6_3","Southwest",84758,"clu6_3-branch_y",324
"169-E8b","Vicky1-d10-169-E8B.mzXML","isolate","169-E8","UT","Vicky1-d10-169-E8B","branch_y","b","clu6_3","Southwest",84758,"clu6_3-branch_y",351
"169-E9a","Vicky3-b7-169-E9A.mzXML","isolate","169-E9","UT","Vicky3-b7-169-E9A","branch_w","a","clu6_2","Southwest",84758,"clu6_2-branch_w",286
"169-E9b","Vicky3-b7-169-E9B.mzXML","isolate","169-E9","UT","Vicky3-b7-169-E9B","branch_w","b","clu6_2","Southwest",84758,"clu6_2-branch_w",531
"170-A3a","Vicky1-f6-170-A3A.mzXML","isolate","170-A3","MN","Vicky1-f6-170-A3A","branch_u","a","clu6_1","East North Central",55379,"clu6_1-branch_u",321
"170-A3b","Vicky1-f6-170-A3B.mzXML","isolate","170-A3","MN","Vicky1-f6-170-A3B","branch_u","b","clu6_1","East North Central",55379,"clu6_1-branch_u",199
"170-E12a","Vicky1-d7-170-E12A.mzXML","isolate","170-E12","UT","Vicky1-d7-170-E12A","branch_u","a","clu6_1","Southwest",84070,"clu6_1-branch_u",490
"170-E12b","Vicky1-d7-170-E12B.mzXML","isolate","170-E12","UT","Vicky1-d7-170-E12B","branch_u","b","clu6_1","Southwest",84070,"clu6_1-branch_u",748
"170-F4a","Vicky2-b2-170-F4A.mzXML","isolate","170-F4","UT","Vicky2-b2-170-F4A","branch_w","a","clu6_2","Southwest",84758,"clu6_2-branch_w",415
"170-F4b","Vicky2-b2-170-F4B.mzXML","isolate","170-F4","UT","Vicky2-b2-170-F4B","branch_w","b","clu6_2","Southwest",84758,"clu6_2-branch_w",539
"173-C6a","Vicky1-b11-173-C6A.mzXML","isolate","173-C6","CA","Vicky1-b11-173-C6A","branch_u","a","clu6_1","West",95817,"clu6_1-branch_u",351
"173-C6b","Vicky1-b11-173-C6B.mzXML","isolate","173-C6","CA","Vicky1-b11-173-C6B","branch_u","b","clu6_1","West",95817,"clu6_1-branch_u",361
"175-A7a","Vicky3-b8-175-A7A.mzXML","isolate","175-A7","VA","Vicky3-b8-175-A7A","branch_u","a","clu6_1","Southeast",22567,"clu6_1-branch_u",757
"175-A7b","Vicky3-b8-175-A7B.mzXML","isolate","175-A7","VA","Vicky3-b8-175-A7B","branch_u","b","clu6_1","Southeast",22567,"clu6_1-branch_u",813
"175-C5a","Vicky2-c10-175-C5A.mzXML","isolate","175-C5","PA","Vicky2-c10-175-C5A","branch_u","a","clu6_1","Northeast",17602,"clu6_1-branch_u",753
"175-C5b","Vicky2-c10-175-C5B.mzXML","isolate","175-C5","PA","Vicky2-c10-175-C5B","branch_u","b","clu6_1","Northeast",17602,"clu6_1-branch_u",605
"175-F4a","Vicky1-b12-175-F4A.mzXML","isolate","175-F4","MN","Vicky1-b12-175-F4A","branch_u","a","clu6_1","East North Central",55304,"clu6_1-branch_u",442
"175-F4b","Vicky1-b12-175-F4B.mzXML","isolate","175-F4","MN","Vicky1-b12-175-F4B","branch_u","b","clu6_1","East North Central",55304,"clu6_1-branch_u",241
"177-E1a","Vicky1-a2-177-E1A.mzXML","isolate","177-E1","OK","Vicky1-a2-177-E1A","branch_u","a","clu6_2","South",73111,"clu6_2-branch_u",508
"177-E1b","Vicky1-a2-177-E1B.mzXML","isolate","177-E1","OK","Vicky1-a2-177-E1B","branch_u","b","clu6_1","South",73111,"clu6_1-branch_u",395
"177-E5a","Vicky1-a6-177-E5A.mzXML","isolate","177-E5","OK","Vicky1-a6-177-E5A","branch_u","a","clu6_1","South",73111,"clu6_1-branch_u",372
"177-E5b","Vicky1-a6-177-E5B.mzXML","isolate","177-E5","OK","Vicky1-a6-177-E5B","branch_u","b","clu6_1","South",73111,"clu6_1-branch_u",221
"177-E6a","Vicky1-a11-177-E6A.mzXML","isolate","177-E6","OK","Vicky1-a11-177-E6A","branch_u","a","clu6_1","South",73111,"clu6_1-branch_u",1015
"177-E6b","Vicky1-a11-177-E6B.mzXML","isolate","177-E6","OK","Vicky1-a11-177-E6B","branch_u","b","clu6_1","South",73111,"clu6_1-branch_u",1039
"178-D1a","Vicky2-e2-178-D1A.mzXML","isolate","178-D1","CA","Vicky2-e2-178-D1A","branch_v","a","clu6_4","West",93933,"clu6_4-branch_v",568
"178-D1b","Vicky2-e2-178-D1B.mzXML","isolate","178-D1","CA","Vicky2-e2-178-D1B","branch_v","b","clu6_4","West",93933,"clu6_4-branch_v",349
"179-A9a","Vicky1-d2-179-A9A.mzXML","isolate","179-A9","NM","Vicky1-d2-179-A9A","branch_y","a","clu6_3","Southwest",87112,"clu6_3-branch_y",434
"179-A9b","Vicky1-d2-179-A9B.mzXML","isolate","179-A9","NM","Vicky1-d2-179-A9B","branch_y","b","clu6_3","Southwest",87112,"clu6_3-branch_y",410
"180-B10a","Vicky1-a7-180-B10A.mzXML","isolate","180-B10","CA","Vicky1-a7-180-B10A","branch_u","a","clu6_1","West",95817,"clu6_1-branch_u",530
"180-B10b","Vicky1-a7-180-B10B.mzXML","isolate","180-B10","CA","Vicky1-a7-180-B10B","branch_u","b","clu6_1","West",95817,"clu6_1-branch_u",680
"180-B9a","Vicky1-a9-180-B9A.mzXML","isolate","180-B9","CA","Vicky1-a9-180-B9A","branch_u","a","clu6_1","West",95817,"clu6_1-branch_u",691
