merge,otu_count
101-H7a,1346
101-H7b,1264
183-H4a,474
183-H4b,511
177-E6a,1015
177-E6b,1039
260-D5a,1046
260-D5b,734
177-E1a,508
177-E1b,395
152-B2a,394
152-B2b,516
139-F1a,302
139-F1b,526
145-B9a,597
145-B9b,379
177-E5a,372
177-E5b,221
180-B10a,530
180-B10b,680
185-D9a,833
185-D9b,752
180-B9a,691
180-B9b,866
197-B1a,627
197-B1b,583
167-A11a,505
167-A11b,408
173-C6a,351
173-C6b,361
175-F4a,442
175-F4b,241
157-F2a,748
157-F2b,530
239-G9a,310
239-G9b,657
239-D12a,373
239-D12b,735
260-C1a,874
260-C1b,583
197-D9a,710
197-D9b,365
199-A7a,438
199-A7b,308
201-E4a,572
201-E4b,596
194-H4a,723
194-H4b,297
268-F1a,673
268-F1b,485
151-A8a,396
151-A8b,399
165-C11a,288
165-C11b,247
134-D5a,580
134-D5b,332
269-D2a,516
269-D2b,402
197-E10a,578
197-E10b,618
264-C2a,548
264-C2b,388
200-A5a,717
200-A5b,485
310-G10a,906
310-G10b,724
316-E2a,720
316-E2b,973
148-E3a,644
148-E3b,730
136-B12a,483
136-B12b,394
186-F8a,711
186-F8b,496
169-E8a,324
169-E8b,351
236-G1a,643
236-G1b,284
253-G9a,558
253-G9b,428
179-A9a,434
179-A9b,410
190-D4a,554
190-D4b,505
307-C11a,530
307-C11b,582
280-A8a,635
280-A8b,394
306-B5a,1308
306-B5b,1299
170-E12a,490
170-E12b,748
316-E1a,826
316-E1b,717
268-A6a,391
268-A6b,639
263-C2a,746
263-C2b,554
159-E5a,286
159-E5b,302
267-B12a,390
267-B12b,423
264-D2a,354
264-D2b,450
307-A3a,501
307-A3b,538
279-H6a,728
279-H6b,514
275-C3a,377
275-C3b,504
239-D10a,409
239-D10b,324
272-A11a,542
272-A11b,483
282-E10a,472
282-E10b,548
155-E5a,397
155-E5b,478
266-H2a,401
266-H2b,346
386-A11a,352
386-A11b,158
241-F8a,538
241-F8b,302
262-B7a,702
262-B7b,675
319-E8a,461
319-E8b,768
337-A5a,459
337-A5b,337
342-G4a,809
342-G4b,753
347-D12a,655
347-D12b,606
147-B2a,583
147-B2b,453
170-A3a,321
170-A3b,199
185-F7a,631
185-F7b,400
267-A5a,676
267-A5b,488
147-C6a,490
147-C6b,300
333-E11a,1103
333-E11b,589
389-H2a,406
389-H2b,325
334-A8a,348
334-A8b,247
330-C2a,369
330-C2b,236
380-H8a,700
380-H8b,356
331-G7a,615
331-G7b,540
372-F4a,549
372-F4b,503
337-B2a,358
337-B2b,278
342-G5a,577
342-G5b,631
352-A7a,899
352-A7b,614
347-D10a,354
347-D10b,326
386-F2a,325
386-F2b,302
268-B1a,609
268-B1b,495
266-C12a,527
266-C12b,243
269-E9a,216
269-E9b,317
269-E10a,317
269-E10b,246
133-H4a,331
133-H4b,387
349-G2a,575
349-G2b,474
346-A6a,535
346-A6b,514
269-B2a,686
269-B2b,438
386-F1a,542
386-F1b,483
157-H2a,369
157-H2b,294
282-B6a,324
282-B6b,289
386-A2a,861
386-A2b,830
404-B10a,518
404-B10b,492
396-C10a,450
396-C10b,345
354-B6a,246
354-B6b,216
353-E9a,700
353-E9b,598
380-A8a,281
380-A8b,705
444-A9a,294
444-A9b,219
158-H6a,404
158-H6b,247
360-F7a,255
360-F7b,311
387-C3a,378
